hour,minute,second,sensor_data
14,54,13,"[23.25, 22.5, 23.0, 23.25, 23.75, 23.75, 23.5, 23.5, 23.0, 22.5, 23.0, 23.5, 23.25, 23.5, 24.25, 23.75, 23.25, 23.0, 23.25, 23.5, 23.5, 23.75, 23.25, 23.75, 23.5, 23.5, 23.75, 23.5, 23.75, 23.75, 24.0, 24.0, 23.5, 23.75, 23.0, 23.25, 24.0, 23.75, 23.5, 24.0, 23.25, 23.25, 23.25, 23.25, 24.25, 24.5, 23.5, 23.25, 23.5, 22.5, 23.25, 23.25, 23.5, 23.25, 23.25, 23.25, 22.75, 22.75, 22.5, 22.25, 23.25, 22.5, 23.25, 22.5]"
14,54,13,"[23.0, 22.25, 22.75, 23.25, 23.0, 24.25, 23.5, 23.25, 23.0, 22.75, 22.75, 24.0, 23.5, 23.75, 23.75, 23.5, 22.75, 23.0, 23.25, 23.25, 23.75, 23.75, 24.25, 23.5, 23.5, 23.25, 23.5, 24.0, 23.75, 24.0, 24.25, 23.5, 24.0, 23.5, 23.5, 23.75, 24.0, 23.75, 23.75, 24.25, 23.0, 22.5, 23.25, 23.5, 24.0, 23.75, 23.75, 24.25, 23.5, 23.0, 23.25, 23.25, 23.5, 23.5, 23.0, 24.0, 23.0, 23.0, 22.75, 22.75, 22.75, 23.0, 23.5, 23.25]"
14,54,13,"[22.25, 22.5, 23.0, 23.25, 23.5, 23.75, 23.5, 23.25, 22.5, 22.25, 23.0, 23.75, 23.25, 23.5, 23.75, 24.0, 23.25, 22.75, 23.0, 23.25, 23.5, 23.75, 23.75, 23.5, 23.25, 23.5, 23.0, 23.75, 23.25, 23.75, 23.75, 23.75, 23.75, 23.5, 23.5, 23.75, 24.0, 23.75, 23.75, 24.0, 23.0, 22.75, 23.0, 23.25, 23.25, 23.75, 23.5, 23.25, 22.75, 23.0, 23.25, 23.25, 23.0, 23.5, 23.25, 23.75, 22.75, 23.25, 22.75, 22.75, 22.75, 23.25, 23.5, 22.5]"
14,54,13,"[23.5, 23.0, 22.75, 23.25, 23.0, 23.5, 23.5, 22.75, 22.5, 22.25, 22.5, 24.0, 23.25, 23.5, 23.5, 23.75, 23.25, 22.75, 23.5, 23.25, 23.5, 24.0, 23.5, 23.75, 23.5, 23.5, 23.75, 23.5, 23.5, 24.0, 23.75, 24.0, 23.75, 23.25, 23.5, 23.75, 23.5, 24.25, 24.0, 24.0, 23.25, 23.0, 23.0, 23.5, 23.5, 23.75, 24.25, 23.5, 23.5, 23.25, 23.25, 23.25, 23.25, 23.25, 23.25, 23.5, 22.25, 22.5, 23.0, 22.75, 23.25, 22.75, 23.5, 23.0]"
14,54,13,"[23.0, 22.75, 23.25, 23.0, 23.75, 23.75, 23.75, 23.5, 22.75, 23.0, 22.75, 23.75, 23.75, 23.75, 23.5, 23.75, 23.25, 23.0, 23.5, 23.0, 23.25, 23.5, 24.0, 24.0, 23.0, 23.75, 23.5, 23.75, 23.25, 24.0, 23.75, 24.0, 23.75, 23.25, 23.0, 23.5, 23.25, 24.0, 24.0, 23.75, 22.75, 23.0, 22.75, 23.0, 23.75, 23.5, 23.75, 23.75, 23.0, 23.0, 22.75, 23.25, 23.25, 23.5, 22.75, 23.75, 22.75, 23.0, 22.75, 22.75, 23.25, 23.0, 23.5, 22.5]"
14,54,14,"[23.0, 22.75, 22.75, 23.25, 23.5, 23.75, 23.25, 23.5, 22.75, 22.25, 22.5, 23.25, 23.75, 23.5, 23.5, 23.75, 23.0, 22.25, 23.5, 23.5, 23.25, 23.5, 24.0, 23.75, 23.75, 23.5, 23.75, 23.75, 24.0, 23.75, 24.0, 23.75, 24.0, 23.25, 23.25, 23.25, 23.75, 24.0, 23.75, 23.75, 22.75, 23.0, 23.0, 23.0, 23.5, 24.0, 23.75, 23.25, 23.25, 23.25, 23.0, 23.25, 23.0, 22.75, 23.0, 23.75, 22.75, 23.25, 22.75, 22.25, 23.25, 23.5, 23.5, 22.5]"
14,54,14,"[23.0, 22.75, 23.25, 23.25, 23.25, 23.75, 23.5, 23.25, 22.75, 22.5, 22.5, 23.5, 23.5, 23.25, 23.25, 23.75, 22.75, 22.75, 23.5, 23.25, 23.5, 23.5, 24.0, 23.5, 23.5, 23.75, 23.75, 23.75, 23.75, 24.0, 23.75, 23.75, 23.75, 22.75, 23.0, 23.5, 24.0, 23.5, 23.5, 23.75, 23.0, 23.0, 23.25, 23.5, 23.75, 23.75, 24.0, 23.5, 23.25, 23.25, 23.5, 23.25, 23.5, 23.25, 23.25, 24.0, 22.75, 22.75, 22.25, 22.0, 23.0, 23.0, 23.5, 22.5]"
14,54,14,"[23.25, 22.25, 23.0, 22.75, 23.25, 23.75, 23.5, 23.25, 22.75, 22.75, 22.75, 23.25, 23.0, 23.5, 23.75, 23.75, 23.0, 22.5, 23.5, 23.0, 23.25, 23.25, 24.0, 23.25, 23.5, 23.5, 23.5, 23.75, 23.5, 24.0, 24.0, 23.75, 24.0, 23.0, 23.5, 23.0, 24.25, 24.0, 23.75, 23.25, 23.25, 22.75, 22.75, 23.0, 23.75, 23.75, 23.75, 23.0, 23.0, 23.25, 23.5, 23.0, 23.5, 23.75, 23.5, 23.25, 23.0, 23.0, 22.75, 22.75, 23.0, 23.25, 24.25, 22.75]"
14,54,14,"[23.25, 22.75, 22.75, 22.75, 23.25, 23.75, 23.25, 23.25, 23.25, 22.5, 22.75, 23.75, 24.0, 23.5, 23.5, 23.25, 22.75, 22.5, 23.5, 23.0, 23.75, 23.25, 23.5, 24.0, 23.75, 23.5, 23.5, 24.0, 24.0, 23.75, 23.75, 23.5, 23.25, 23.25, 23.75, 23.5, 23.75, 23.75, 23.75, 24.25, 23.0, 22.75, 23.0, 23.25, 23.5, 23.75, 23.75, 23.75, 22.75, 22.5, 23.25, 23.0, 23.5, 23.25, 23.25, 23.25, 22.75, 22.75, 23.0, 22.5, 22.75, 22.75, 23.75, 22.5]"
14,54,14,"[23.0, 23.0, 23.25, 23.25, 23.0, 23.75, 23.25, 23.0, 22.75, 22.5, 22.25, 23.75, 23.5, 23.25, 23.75, 23.25, 23.0, 22.5, 23.5, 23.25, 23.5, 23.75, 23.75, 24.5, 23.25, 23.5, 23.0, 23.5, 23.5, 23.5, 23.25, 23.25, 24.25, 23.5, 22.75, 23.0, 23.75, 23.75, 23.25, 23.75, 22.5, 22.75, 23.0, 23.75, 24.0, 23.75, 24.0, 23.5, 22.75, 23.0, 22.5, 23.5, 23.5, 23.5, 23.0, 23.75, 22.5, 23.0, 22.5, 22.0, 23.25, 22.75, 23.25, 22.25]"
