hour,minute,second,sensor_data
16,17,28,"[27.0, 27.25, 27.5, 27.5, 28.25, 28.75, 26.5, 26.5, 26.75, 26.5, 27.5, 27.5, 29.25, 28.0, 26.5, 26.0, 26.75, 26.75, 27.25, 28.0, 28.0, 27.0, 26.5, 26.0, 27.0, 27.25, 27.75, 28.5, 27.0, 26.75, 26.25, 27.0, 26.75, 27.75, 28.5, 27.75, 26.25, 26.5, 26.5, 26.25, 27.0, 27.75, 28.75, 26.25, 26.0, 26.25, 26.75, 26.5, 28.0, 28.25, 27.25, 26.5, 26.5, 26.0, 26.75, 26.75, 28.25, 27.0, 26.25, 26.25, 26.75, 25.75, 26.0, 25.5]"
16,17,28,"[26.75, 26.75, 27.75, 28.0, 28.5, 29.0, 26.75, 25.5, 27.0, 26.5, 27.5, 27.5, 29.5, 27.75, 26.25, 25.75, 27.5, 27.25, 27.75, 28.0, 28.5, 27.25, 26.75, 26.0, 27.0, 27.5, 28.25, 28.75, 27.0, 26.5, 26.75, 26.5, 27.25, 27.75, 28.75, 27.5, 26.25, 26.25, 26.5, 26.0, 26.75, 27.75, 29.0, 26.5, 26.5, 26.25, 26.25, 26.25, 28.0, 28.25, 28.0, 26.5, 26.25, 26.25, 26.25, 26.5, 28.25, 27.5, 26.5, 26.0, 26.5, 26.0, 26.0, 26.0]"
16,17,28,"[26.75, 26.5, 27.25, 27.75, 28.5, 29.0, 26.75, 26.5, 26.25, 27.0, 27.75, 27.75, 29.25, 27.75, 26.5, 26.25, 27.0, 27.0, 27.5, 28.0, 28.25, 26.75, 26.5, 25.5, 27.25, 27.5, 28.0, 28.75, 27.25, 26.75, 26.25, 27.0, 26.75, 28.25, 28.25, 27.5, 26.75, 26.75, 26.25, 26.5, 27.0, 28.0, 28.75, 26.75, 26.25, 26.25, 26.5, 26.0, 27.5, 28.0, 27.5, 26.5, 25.75, 26.0, 26.5, 25.75, 27.75, 27.75, 26.5, 26.0, 26.5, 26.25, 25.75, 26.0]"
16,17,28,"[26.75, 27.0, 27.5, 27.75, 28.5, 28.75, 26.75, 26.0, 26.75, 27.0, 27.5, 27.75, 29.25, 27.5, 26.25, 26.0, 27.0, 26.75, 27.75, 28.25, 27.75, 27.0, 26.75, 26.25, 26.75, 27.75, 27.75, 28.75, 27.0, 27.0, 26.25, 26.5, 27.75, 28.25, 28.5, 27.5, 26.5, 26.25, 26.25, 26.5, 27.0, 28.0, 29.25, 26.5, 26.5, 26.25, 26.5, 26.25, 27.75, 28.25, 27.75, 26.75, 26.5, 26.5, 26.25, 26.5, 28.0, 27.5, 27.25, 26.0, 27.25, 26.25, 26.0, 25.75]"
16,17,28,"[26.75, 26.75, 27.5, 27.75, 28.25, 29.0, 26.75, 26.0, 26.25, 27.0, 27.5, 28.0, 29.25, 28.25, 26.25, 26.25, 26.75, 27.0, 27.5, 28.25, 28.25, 26.5, 26.25, 26.0, 27.0, 27.5, 28.0, 29.0, 27.0, 26.5, 26.25, 26.25, 27.25, 27.75, 29.0, 27.25, 27.0, 26.0, 26.25, 26.25, 27.0, 27.75, 29.0, 26.25, 26.25, 26.0, 26.75, 26.0, 27.5, 28.75, 27.5, 26.75, 26.5, 26.25, 26.5, 26.75, 27.5, 27.75, 26.25, 26.0, 26.0, 26.0, 25.75, 26.25]"
16,17,29,"[26.25, 26.75, 27.5, 28.0, 28.0, 28.75, 27.0, 26.0, 26.75, 26.5, 28.0, 27.75, 29.25, 27.5, 26.0, 25.75, 27.5, 26.75, 27.75, 28.0, 28.25, 27.25, 26.25, 26.0, 27.0, 27.25, 28.0, 28.75, 27.0, 26.75, 26.75, 26.5, 27.0, 27.75, 28.25, 27.5, 26.5, 26.5, 26.0, 26.25, 27.0, 28.0, 28.75, 26.0, 26.25, 26.0, 26.5, 26.0, 27.5, 27.75, 27.0, 26.25, 26.25, 26.5, 26.25, 26.25, 27.75, 27.25, 26.5, 25.75, 26.25, 25.75, 26.0, 25.25]"
16,17,29,"[26.5, 27.25, 27.25, 28.25, 28.5, 29.0, 26.75, 26.25, 26.75, 27.0, 27.5, 27.75, 29.25, 28.25, 26.5, 26.75, 27.25, 27.0, 27.75, 28.25, 28.25, 27.0, 26.5, 26.0, 27.5, 27.5, 27.75, 28.75, 27.25, 26.25, 26.5, 26.5, 26.5, 28.0, 28.5, 27.5, 26.5, 26.0, 26.25, 25.75, 26.75, 27.75, 28.5, 26.25, 26.25, 26.5, 26.5, 26.75, 28.25, 28.25, 27.25, 26.25, 26.75, 26.0, 26.5, 26.0, 27.5, 27.0, 26.0, 25.75, 26.5, 26.5, 25.75, 25.5]"
16,17,29,"[26.5, 27.0, 27.0, 27.75, 28.5, 29.0, 27.0, 26.0, 26.5, 26.75, 27.75, 27.25, 29.25, 27.75, 26.25, 25.75, 26.25, 27.0, 27.25, 28.0, 28.0, 27.0, 26.25, 26.25, 27.25, 27.25, 28.25, 29.0, 27.0, 26.5, 26.25, 26.0, 27.0, 27.75, 28.5, 27.25, 26.25, 26.5, 26.5, 26.0, 26.75, 28.0, 28.75, 26.25, 26.5, 26.5, 27.0, 26.5, 27.75, 28.0, 27.5, 26.5, 26.5, 26.0, 26.0, 26.5, 27.5, 27.0, 26.25, 26.5, 26.5, 25.75, 25.5, 25.75]"
16,17,29,"[26.5, 26.5, 27.5, 27.5, 28.5, 28.25, 26.75, 26.25, 27.0, 27.0, 27.5, 27.5, 29.25, 27.5, 26.0, 26.25, 26.75, 27.25, 27.5, 28.0, 28.25, 27.0, 26.0, 25.75, 27.0, 27.25, 27.5, 28.5, 27.0, 26.5, 26.25, 26.5, 27.0, 27.75, 28.25, 27.5, 26.5, 26.25, 26.0, 26.25, 27.5, 27.75, 28.5, 26.5, 26.75, 26.25, 26.75, 26.25, 27.5, 28.25, 27.25, 25.75, 26.0, 26.25, 27.0, 26.25, 27.75, 28.0, 26.0, 26.0, 26.5, 27.0, 26.0, 26.25]"
16,17,29,"[26.75, 27.0, 27.5, 27.5, 28.0, 28.5, 26.75, 26.25, 26.25, 27.0, 27.25, 28.0, 29.25, 27.75, 26.25, 26.0, 26.75, 26.75, 27.25, 28.25, 28.25, 27.0, 26.25, 25.75, 27.0, 27.75, 27.75, 28.5, 26.75, 26.0, 26.25, 26.5, 26.5, 28.0, 28.5, 27.5, 26.5, 26.5, 26.25, 26.0, 27.25, 27.5, 28.5, 26.75, 26.0, 26.0, 26.5, 27.0, 27.75, 28.25, 27.25, 26.5, 26.5, 26.0, 26.5, 26.0, 28.0, 27.75, 26.25, 25.75, 26.5, 25.75, 25.25, 25.0]"
16,17,30,"[26.5, 27.25, 27.0, 28.0, 28.0, 28.25, 26.5, 26.0, 27.0, 26.5, 27.5, 27.25, 29.25, 27.75, 26.25, 26.0, 26.75, 27.5, 27.25, 27.75, 28.25, 27.0, 26.75, 25.5, 27.0, 27.25, 27.75, 29.0, 27.0, 26.5, 26.0, 26.5, 26.75, 27.25, 28.5, 27.75, 26.5, 26.25, 26.25, 26.25, 26.75, 27.75, 28.75, 26.25, 26.25, 26.25, 26.5, 26.5, 27.5, 28.25, 27.5, 26.5, 26.25, 25.5, 26.5, 26.0, 27.75, 28.0, 26.75, 26.0, 26.5, 25.25, 25.75, 25.25]"
