hour,minute,second,sensor_data
2,8,54,"[23.75, 23.25, 23.5, 23.5, 24.25, 24.5, 24.75, 24.25, 23.5, 23.25, 23.5, 24.75, 23.75, 24.25, 24.0, 24.25, 23.75, 23.0, 24.25, 24.0, 24.25, 24.0, 24.75, 24.5, 24.25, 24.0, 24.0, 24.5, 24.0, 24.75, 24.5, 24.25, 24.25, 24.0, 24.25, 24.25, 24.25, 24.75, 24.75, 25.0, 23.5, 24.25, 23.75, 24.0, 24.5, 24.5, 24.25, 24.75, 23.75, 23.5, 23.5, 23.5, 23.5, 24.25, 23.75, 24.25, 23.25, 23.5, 23.75, 23.25, 24.0, 23.0, 24.5, 23.75]"
2,8,54,"[23.5, 23.25, 23.5, 24.25, 24.25, 24.5, 24.25, 24.5, 23.5, 23.5, 23.5, 24.0, 24.25, 24.75, 24.25, 24.75, 23.75, 23.75, 24.25, 24.25, 24.25, 24.0, 24.5, 24.75, 24.0, 24.25, 24.25, 23.75, 24.75, 24.25, 24.75, 24.25, 24.5, 24.25, 23.75, 23.75, 24.25, 24.5, 24.25, 24.25, 23.25, 23.25, 23.75, 24.0, 24.25, 23.75, 24.25, 24.0, 24.0, 23.25, 23.5, 23.5, 23.75, 23.5, 23.75, 24.0, 23.0, 23.5, 23.0, 23.5, 23.5, 24.0, 24.25, 23.5]"
2,8,54,"[24.5, 23.0, 23.5, 24.0, 24.25, 24.5, 24.5, 24.0, 23.75, 23.0, 23.5, 24.25, 24.0, 24.5, 24.5, 24.75, 23.5, 23.5, 24.25, 24.25, 24.5, 23.75, 24.5, 24.75, 23.75, 24.0, 23.5, 24.25, 24.25, 25.0, 24.75, 24.25, 24.25, 24.0, 24.0, 24.25, 24.25, 24.5, 24.5, 24.75, 23.25, 23.5, 23.75, 23.75, 24.5, 24.5, 24.5, 24.5, 23.25, 23.75, 23.75, 24.0, 24.0, 24.25, 24.0, 24.75, 23.75, 24.25, 23.75, 23.5, 23.75, 24.25, 24.75, 23.75]"
2,8,55,"[24.0, 23.25, 23.5, 24.0, 24.0, 24.0, 24.0, 23.75, 23.75, 23.0, 23.25, 24.0, 24.25, 24.0, 24.25, 24.75, 23.5, 23.5, 24.0, 23.75, 24.0, 24.0, 24.5, 24.25, 23.75, 24.0, 24.0, 24.25, 24.0, 24.5, 24.75, 24.75, 24.0, 24.0, 24.5, 23.75, 24.5, 24.5, 24.25, 25.0, 23.5, 23.5, 23.75, 23.75, 24.25, 24.25, 24.75, 24.25, 23.5, 23.75, 24.0, 23.5, 23.75, 23.75, 24.0, 24.25, 23.5, 23.75, 23.75, 23.75, 23.75, 23.5, 24.25, 23.25]"
2,8,55,"[23.75, 22.75, 22.75, 23.75, 23.75, 24.25, 24.25, 23.75, 23.25, 23.5, 23.5, 24.0, 24.5, 24.5, 24.5, 24.5, 23.5, 23.5, 24.0, 24.0, 24.0, 24.25, 24.25, 24.5, 24.25, 24.0, 24.0, 24.25, 24.5, 24.5, 24.5, 24.5, 24.25, 23.75, 24.0, 24.0, 24.75, 24.5, 24.5, 24.75, 23.5, 24.0, 23.75, 24.0, 24.5, 24.5, 24.25, 23.75, 24.25, 24.25, 23.5, 24.0, 24.0, 24.5, 24.25, 25.0, 23.75, 23.75, 23.5, 23.5, 23.75, 24.0, 24.0, 24.0]"
2,8,55,"[23.75, 23.5, 23.75, 24.0, 24.25, 24.25, 23.5, 24.75, 23.5, 23.25, 23.5, 24.0, 24.25, 24.25, 24.0, 24.5, 23.75, 23.25, 24.25, 24.5, 24.25, 24.25, 25.0, 24.25, 24.0, 24.0, 24.0, 24.0, 24.25, 24.5, 24.25, 24.75, 24.0, 23.75, 23.75, 24.25, 24.25, 24.75, 24.25, 24.25, 23.75, 24.0, 24.0, 24.25, 24.25, 24.25, 24.75, 24.0, 23.75, 23.5, 23.75, 24.25, 24.0, 24.0, 24.5, 24.25, 23.75, 23.75, 23.5, 23.0, 24.0, 23.75, 24.5, 23.5]"
2,8,55,"[23.75, 23.25, 23.75, 24.0, 23.75, 23.75, 24.25, 24.0, 23.25, 23.0, 23.25, 24.25, 24.0, 24.0, 23.5, 24.25, 23.25, 23.25, 24.0, 24.0, 24.25, 24.0, 24.0, 24.0, 24.0, 23.75, 24.0, 24.25, 24.0, 24.5, 24.25, 24.5, 23.75, 23.75, 23.75, 24.0, 24.0, 24.75, 24.25, 24.75, 23.5, 23.25, 23.25, 23.5, 24.25, 24.5, 24.25, 24.25, 23.25, 23.75, 23.75, 23.75, 24.0, 24.25, 24.25, 24.75, 23.5, 23.5, 23.5, 23.5, 23.75, 24.0, 24.75, 24.25]"
2,8,56,"[23.5, 23.25, 23.5, 23.25, 23.75, 24.5, 24.25, 23.75, 23.75, 23.25, 23.25, 24.0, 23.75, 24.5, 24.5, 24.75, 24.0, 23.0, 24.5, 24.5, 23.5, 24.5, 24.5, 24.25, 24.25, 24.25, 24.25, 24.25, 24.5, 25.0, 24.75, 24.5, 24.25, 24.0, 23.75, 23.75, 24.5, 24.25, 24.25, 25.25, 23.75, 23.25, 23.75, 24.25, 24.5, 24.25, 24.5, 24.25, 24.0, 24.0, 23.75, 23.5, 24.0, 24.25, 24.0, 24.5, 24.25, 24.25, 23.5, 23.25, 23.75, 23.75, 24.75, 23.5]"
2,8,56,"[24.0, 23.5, 23.75, 23.5, 24.0, 23.75, 24.25, 24.25, 23.75, 23.5, 23.75, 24.0, 24.25, 24.5, 24.5, 24.75, 23.25, 23.5, 24.5, 24.0, 24.25, 24.5, 24.25, 24.5, 24.5, 24.5, 24.25, 24.25, 24.0, 24.5, 24.5, 24.5, 24.25, 23.75, 24.0, 23.75, 24.5, 24.5, 24.0, 24.25, 24.0, 23.5, 23.75, 24.25, 24.0, 24.25, 23.75, 23.75, 23.0, 23.75, 23.75, 24.0, 24.0, 24.0, 23.75, 24.0, 23.25, 23.0, 23.75, 23.25, 24.0, 23.25, 24.5, 23.5]"
2,8,56,"[24.0, 23.25, 23.75, 24.0, 24.0, 24.25, 24.75, 24.5, 23.75, 23.0, 23.5, 24.25, 24.25, 24.25, 24.25, 24.5, 24.0, 23.75, 24.0, 24.25, 23.75, 24.0, 24.5, 24.75, 24.0, 24.0, 24.25, 24.0, 24.25, 24.25, 24.25, 24.25, 24.0, 24.0, 24.0, 24.0, 24.75, 24.5, 24.25, 24.75, 23.75, 23.75, 23.75, 24.0, 24.25, 24.75, 24.0, 24.25, 23.75, 23.75, 23.75, 24.0, 23.5, 23.75, 24.0, 24.75, 23.75, 23.75, 23.75, 23.25, 23.75, 23.75, 24.25, 23.0]"
2,8,56,"[23.75, 23.5, 23.75, 24.0, 23.5, 24.5, 24.25, 24.0, 23.0, 23.0, 23.25, 24.0, 24.25, 24.0, 24.5, 24.0, 23.75, 23.75, 24.0, 23.5, 24.25, 24.0, 24.5, 24.75, 24.0, 24.0, 24.0, 24.5, 24.0, 24.5, 24.5, 24.5, 23.75, 24.0, 23.5, 24.0, 24.25, 24.25, 24.5, 25.0, 24.0, 23.75, 24.0, 23.75, 24.0, 24.0, 24.25, 23.75, 23.5, 23.5, 23.75, 24.25, 24.0, 24.25, 24.25, 24.25, 23.5, 23.5, 23.5, 23.0, 23.5, 23.75, 24.25, 24.0]"
2,8,56,"[23.25, 23.25, 23.5, 23.5, 24.0, 24.0, 23.5, 24.0, 23.5, 23.25, 23.25, 24.0, 24.0, 24.5, 24.75, 24.5, 24.0, 23.5, 24.25, 24.25, 24.5, 23.75, 24.5, 24.5, 24.0, 24.0, 24.0, 24.5, 24.0, 24.5, 24.25, 24.75, 23.75, 24.0, 23.75, 23.75, 24.5, 24.5, 24.25, 24.5, 23.75, 24.0, 24.25, 24.0, 24.25, 24.75, 24.75, 24.25, 23.5, 23.5, 24.0, 24.0, 24.0, 23.75, 24.0, 24.25, 23.5, 23.25, 23.5, 23.5, 23.75, 24.0, 24.5, 23.5]"
2,8,57,"[23.75, 23.25, 24.0, 23.75, 24.0, 24.25, 24.25, 23.75, 24.0, 23.75, 23.25, 24.25, 24.0, 24.25, 24.25, 24.5, 23.75, 23.25, 24.0, 23.5, 24.25, 24.5, 24.5, 24.25, 23.75, 23.75, 24.25, 24.0, 24.25, 24.5, 24.75, 24.75, 24.25, 24.0, 24.0, 23.75, 24.25, 24.75, 24.5, 24.75, 23.75, 23.5, 23.75, 24.0, 23.75, 24.5, 23.75, 24.25, 23.25, 23.5, 23.5, 23.5, 23.5, 24.25, 24.0, 24.25, 23.0, 23.75, 23.5, 23.25, 24.0, 23.75, 24.0, 23.75]"
2,8,57,"[24.5, 22.75, 23.5, 23.75, 23.75, 24.25, 24.25, 24.0, 23.25, 22.75, 23.0, 23.75, 24.25, 24.0, 24.0, 24.5, 23.25, 23.0, 23.5, 23.75, 24.0, 24.25, 24.25, 24.25, 24.0, 24.0, 23.75, 24.0, 23.75, 24.25, 24.25, 24.25, 24.25, 23.75, 23.75, 24.25, 24.25, 24.25, 24.0, 24.25, 23.25, 23.0, 23.75, 23.75, 24.0, 24.75, 24.5, 24.25, 23.75, 23.5, 23.75, 23.75, 24.0, 24.0, 24.0, 24.25, 23.25, 23.25, 23.5, 23.25, 24.25, 24.25, 24.5, 23.5]"
2,8,57,"[24.25, 23.5, 24.0, 23.75, 24.25, 24.25, 24.5, 24.0, 23.0, 23.0, 23.25, 24.25, 24.25, 23.75, 23.75, 24.0, 23.5, 23.0, 23.5, 23.5, 24.0, 24.25, 24.25, 24.25, 24.0, 24.0, 24.0, 24.0, 24.25, 24.75, 24.0, 24.5, 24.25, 23.5, 24.0, 24.25, 24.5, 24.5, 24.25, 24.5, 24.0, 22.75, 23.25, 23.5, 24.5, 24.0, 25.0, 24.25, 23.5, 23.75, 23.75, 23.5, 24.25, 23.75, 24.5, 24.25, 23.5, 23.25, 23.0, 23.0, 24.0, 23.75, 24.5, 22.75]"
2,8,57,"[23.5, 23.0, 23.5, 23.25, 23.75, 24.25, 24.5, 23.75, 22.5, 23.25, 22.75, 24.0, 24.25, 24.0, 24.5, 24.5, 23.75, 23.25, 24.25, 23.75, 24.25, 24.0, 24.25, 25.0, 24.0, 24.25, 24.25, 24.0, 24.0, 24.75, 24.5, 24.75, 24.25, 23.75, 24.25, 24.25, 24.5, 24.5, 24.5, 24.75, 23.5, 23.25, 23.5, 24.0, 24.5, 24.25, 24.25, 23.75, 23.25, 23.5, 23.5, 23.75, 23.5, 23.75, 24.0, 24.0, 23.0, 23.0, 23.25, 23.0, 24.0, 23.5, 24.0, 23.25]"
2,8,57,"[24.0, 23.25, 24.0, 23.75, 24.0, 24.0, 24.0, 24.0, 23.25, 23.0, 23.75, 24.25, 24.0, 24.25, 24.0, 24.0, 23.5, 23.0, 23.75, 23.75, 24.5, 24.0, 24.5, 24.25, 24.25, 24.0, 24.25, 24.5, 24.25, 25.0, 24.0, 24.75, 24.0, 24.0, 23.75, 23.75, 24.0, 24.25, 24.5, 25.0, 23.5, 23.75, 23.75, 23.5, 24.25, 24.25, 24.25, 23.75, 23.5, 23.5, 23.5, 24.0, 24.0, 23.75, 24.0, 24.0, 23.5, 24.0, 24.0, 23.0, 23.75, 23.5, 24.25, 23.5]"
2,8,58,"[23.5, 23.5, 23.25, 23.75, 24.0, 24.25, 24.0, 24.25, 23.25, 23.25, 23.5, 24.0, 23.75, 23.75, 24.0, 24.25, 23.75, 23.5, 24.0, 23.75, 24.25, 24.0, 24.0, 24.0, 23.75, 24.0, 24.25, 24.25, 24.25, 24.25, 24.0, 24.25, 23.75, 24.0, 23.5, 23.75, 24.25, 24.25, 24.25, 24.75, 23.25, 23.0, 23.5, 23.75, 24.25, 24.0, 24.25, 23.75, 23.0, 23.75, 23.25, 23.5, 23.75, 23.75, 23.25, 24.0, 23.25, 23.25, 23.5, 23.0, 24.0, 23.5, 23.75, 23.0]"
2,8,58,"[23.75, 23.25, 23.5, 23.5, 24.0, 24.5, 24.0, 24.25, 23.75, 22.75, 23.0, 24.25, 24.25, 24.25, 24.25, 24.0, 23.25, 23.25, 23.75, 23.75, 24.25, 23.75, 24.25, 24.5, 23.75, 23.75, 23.5, 24.0, 24.0, 24.25, 24.25, 24.25, 23.75, 23.5, 23.75, 23.75, 24.5, 24.5, 24.25, 24.75, 23.25, 23.5, 23.5, 23.5, 24.5, 24.5, 24.5, 24.25, 23.5, 24.0, 23.75, 24.0, 23.75, 24.25, 24.0, 24.0, 24.0, 23.75, 23.5, 23.25, 23.5, 23.0, 24.0, 23.25]"
2,8,58,"[23.75, 23.5, 23.75, 23.75, 24.0, 24.0, 24.0, 24.25, 23.25, 23.25, 23.5, 24.25, 24.0, 24.25, 24.0, 24.25, 23.75, 23.25, 24.25, 24.0, 24.25, 23.75, 24.25, 24.25, 24.5, 23.75, 23.75, 24.0, 24.5, 24.5, 24.25, 23.75, 24.0, 24.0, 23.75, 24.25, 24.75, 24.25, 24.25, 24.75, 23.5, 23.25, 23.5, 23.75, 24.5, 24.25, 24.0, 23.75, 23.5, 23.5, 23.5, 24.0, 24.0, 24.0, 23.5, 24.25, 22.75, 23.75, 23.25, 22.75, 23.5, 23.5, 24.5, 23.75]"
2,8,58,"[23.5, 23.25, 23.25, 23.25, 23.5, 24.25, 23.25, 23.75, 22.75, 23.0, 23.0, 24.0, 23.5, 23.75, 24.5, 24.5, 23.5, 23.5, 24.0, 23.75, 24.0, 23.75, 24.5, 24.0, 24.0, 24.25, 24.0, 23.75, 24.0, 24.5, 24.5, 24.5, 23.75, 23.75, 23.75, 23.75, 24.5, 24.5, 24.25, 24.25, 23.75, 23.75, 23.5, 23.75, 24.5, 24.5, 24.0, 24.25, 23.75, 23.25, 23.5, 23.75, 23.5, 24.0, 23.75, 24.0, 23.5, 23.25, 23.75, 23.75, 23.75, 22.75, 24.5, 23.5]"
